15,34,40244.0183113,2070601,1888,4,360,44,122,1759,1844,293,381,304,0,23,4,17,497,1469,287,0,172,187,102,1252,1199
51,38,43084.3181283,2197181,1215,4,468,48,184,469,2151,277,164,250,0,18,7,5,330,1206,209,0,179,149,203,1898,1889
34,35,22668.9705882,230885,349,1,451,6,48,141,406,106,64,124,0,17,4,1,317,476,69,0,64,69,38,737,562
27,33,51114.7576404,1081257,554,2,398,17,112,379,308,228,76,153,0,5,1,1,432,418,52,0,83,98,134,972,1166
88,33,48659.8337696,1104765,1309,3,321,35,62,2405,1971,328,257,436,0,18,4,3,343,1003,167,0,89,177,105,1311,1179
20,35,28576.0,191963,211,0,148,3,67,108,260,55,25,63,0,13,12,4,130,229,30,0,29,63,9,120,92
50,37,42526.8861738,2119250,1098,3,334,50,100,1304,1141,306,303,232,0,21,1,3,340,859,162,0,84,249,149,1782,1732
17,36,33045.5277778,255433,490,0,466,5,74,588,488,116,68,67,1,16,10,1,315,469,45,0,68,59,17,255,277
205,37,47666.9115942,1161392,632,2,99,38,47,407,578,144,81,95,0,17,2,3,155,415,145,0,42,103,44,577,611
160,30,43894.8576665,2121490,1285,3,338,37,106,1587,1099,406,352,381,0,21,4,5,575,1513,382,0,195,221,125,2295,2481
45,34,49143.3531332,1249049,1245,1,201,22,52,1565,1310,327,231,171,0,29,6,10,325,896,208,0,74,195,95,1553,1625
83,35,45251.9925763,2344576,1767,2,356,98,201,860,3535,244,254,287,0,12,3,14,421,878,194,0,180,196,181,1614,1581
56,34,48650.4274311,1152767,307,1,152,5,20,275,244,141,59,52,1,15,16,1,140,295,50,0,22,54,26,598,496
64,36,41106.5202856,2134457,1338,3,228,17,68,381,1157,229,123,172,1,21,4,12,334,796,385,1,118,374,83,1876,2083
134,32,46353.3835481,1158245,764,0,154,15,41,296,663,161,83,441,1,11,5,3,232,452,110,0,50,69,64,709,780
98,37,41882.335,751178,419,0,369,9,69,93,531,54,49,81,3,30,6,0,217,320,57,0,52,29,19,370,403
37,37,42941.6508139,2194155,865,0,375,28,96,1342,806,295,188,341,1,23,6,4,520,960,133,0,138,223,103,1180,1121
32,35,47535.5541825,857439,799,1,177,4,51,409,2407,131,126,279,0,12,3,2,294,761,87,0,119,86,77,917,846
175,35,47549.0372608,1130523,1201,0,248,14,41,1127,699,180,164,606,2,20,3,1,303,642,164,0,69,123,76,1404,1328
22,33,49153.873348,1110747,1478,3,273,29,79,2988,2290,349,316,757,0,18,5,4,393,1134,162,0,141,165,120,1288,1148
37,39,46101.8840927,1033361,1674,4,318,22,90,1974,1992,236,331,407,1,21,10,5,392,1637,213,0,170,127,76,1556,1403
50,38,40351.1027706,2121054,404,0,382,44,130,340,510,124,48,177,1,17,3,2,226,380,104,0,79,180,60,761,751
123,39,45218.7019868,720569,329,0,136,7,36,125,1089,123,61,76,0,14,4,2,251,313,85,0,101,47,51,503,553
141,36,47544.4524158,1156582,633,2,92,39,46,325,571,134,69,95,0,20,3,3,137,401,140,0,39,92,42,551,572
29,35,46638.4920235,963641,487,1,326,37,102,167,303,160,48,86,4,17,12,2,240,438,57,0,70,119,93,1162,1152
22,37,40054.5554804,2058971,2746,6,246,41,82,3295,2166,273,668,529,0,28,5,14,383,2125,309,0,140,156,74,2117,1862
