南新园,朝阳 - 华威桥 松榆南路南侧,33333,5324,116.4734909,39.87590945
建东苑,朝阳 - 管庄 管庄西里周家井,26105,120,116.5899032,39.92270049
铭科苑小区,海淀 - 西二旗 西二旗城铁东200米,32179,2160,116.3202846,40.05813027
慧华苑,昌平 - 回龙观 北京市昌平区回龙观镇回龙观西大街龙冠大厦北侧,23076,1098,116.3213278,40.08379256
庄维花园一期,丰台 - 丽泽桥 丰台区庄维路近园路路口以北约140米路东,31954,1200,116.2961535,39.86990068
兴涛社区,大兴 - 黄村 黄村兴业大街与金星西路交叉处东北角,27389,500,116.3323207,39.77094872
冠雅苑,昌平 - 北七家 昌平北七家镇，定泗路南侧，立汤路西侧,21647,2000,116.4140473,40.12190795
兴都苑,大兴 - 西红门 西红门宏都路南侧,22849,1200,116.3454139,39.80351653
紫东苑,朝阳 - 潘家园 朝阳区潘家园东路，广渠门外南八里庄64号,34328,416,116.4703235,39.88408305
方华苑,朝阳 - 华威桥 南新园中路108号,32670,576,116.473456,39.87530223
亚运豪庭,朝阳 - 亚运村小营 小营路9号,35826,864,116.4305818,40.00104254
同仁园,丰台 - 刘家窑 南三环中路刘家窑桥西南,30049,2000,116.4259811,39.86129671
北潞春绿色生态小区,房山 - 良乡 良乡卫星城西潞园168号,16159,0,116.1352044,39.74549155
翠湖别墅,海淀 - 西北旺 上庄水库北岸翠湖路8号,37718,200,116.2102779,40.11650769
阳光花园别墅,顺义 - 马坡 首都机场以北10公里,16902,96,116.6793995,40.17355065
黄金苑,朝阳 - 北苑 北苑路5号,30260,2000,116.4198507,40.04963999
旭风苑,朝阳 - 芍药居 芍药居36号楼,38549,144,116.395645,39.92998578
顺义温馨家园,顺义 - 天竺 首都机场南侧南半壁店,20295,0,116.6905235,40.12319538
金嘉苑,丰台 - 卢沟桥 卢沟桥乡靛厂金家村,42227,0,116.395645,39.92998578
秀苑双座,朝阳 - 朝阳北路 八里庄北里,40278,0,116.395645,39.92998578
安贞西里,朝阳 - 安贞 北京朝阳区北三环安贞桥西300米安华桥东北角,43656,5985,116.405144,39.98117807
万科星园,朝阳 - 北苑 亚运村正北2.5公里在，洼里乡,42052,2118,116.4181622,40.03672167
幸福一村,朝阳 - 工体 工人体育场北路路口以北50米路西,51658,432,116.4545014,39.94071601
吉庆里,朝阳 - 朝阳门 朝阳门华普超市中纺街3号院,52400,1725,116.4445813,39.93320071
早安方庄,丰台 - 左安门 丰台区左安门外紫芳路9号院,40476,509,116.395645,39.92998578
武夷花园,通州 - 武夷花园 通湖大街1号(出口往东北苑环岛往东4公里),20536,4000,116.7012479,39.92230871
蓬莱苑别墅,昌平 - 北七家 北七家镇亚运村正北12公里,25490,150,116.4611913,40.11421027
燕归园,海淀 - 中关村 海淀中关村路北,59657,3269,116.3383979,39.99487948
五里店小区,丰台 - 卢沟桥 卢沟桥路五里店,25869,500,116.2655691,39.86199499
南银大厦,朝阳 - 三元桥 东三环北路2号,48097,556,116.4638158,39.96287351
鸿运花园,崇文 - 天坛 崇文区天坛东路48号,46917,2180,116.4308332,39.88190809
宝润苑,崇文 - 花市 东花市北里西区24号,40160,200,116.4358169,39.90484291
朝凤山庄别墅,昌平 - 昌平县城 朝凤村十三陵水库旁,14729,9,116.2654344,40.24685652
汇通花园,海淀 - 万泉河 万泉河,65790,0,116.395645,39.92998578
新中街住宅小区,东城 - 东直门 东直门外新中街,48227,0,116.4006824,39.95027202
鲁谷新居,石景山 - 鲁谷 永乐西小区甲9栋,42308,988,116.2319663,39.90442541
温馨园,昌平 - 北七家 亚运村正北12公里，北七家镇东沙各庄,21564,0,116.395645,39.92998578
垡头小区,朝阳 - 垡头 东四环四方桥南1公里垡头,30020,2340,116.5189406,39.86948463
信荷城小区,朝阳 - 望京 望京小区,40438,700,116.395645,39.92998578
丽斯花园二期,顺义 - 中央别墅区 天竺开发街16号，机场高速杨林出口700米,26699,109,116.5736054,40.04730908
世纪宝鼎,朝阳 - 亚运村小营 朝阳区亚运村东2公里,32195,600,116.443732,39.99802788
丽豪园,西城 - 鼓楼大街 旧鼓楼大街大石桥胡同55号,67040,100,116.394382,39.95427863
大雄百合园别墅,大兴 - 亦庄 亦庄开发区管委会西南向,32387,0,116.3703748,39.86670483
京宝花园,东城 - 安定门 安定门外大街183号,29834,158,116.4131206,39.9591954
富泉花园公寓,昌平 - 昌平县城 高科技园白浮泉路21号,20553,111,116.2538207,40.20968218
罗马花园,朝阳 - 惠新西街 惠新西街18号,34920,888,116.4240256,39.99092777
美然绿色家园,大兴 - 旧宫 大兴区旧宫镇旧忠路14号,24703,1198,116.4580904,39.80780884
翌景嘉园,朝阳 - 潘家园 朝阳区潘家园古玩城北30米,29863,576,116.4656761,39.87883253
畅清园,朝阳 - 奥林匹克公园 双泉堡花虎沟8号院,44838,553,116.3731494,40.02177975
博雅园,朝阳 - 朝阳公园 农展馆南路8号,48330,446,116.4775345,39.94128134
似海怡家,"宣武 - 牛街 广安门内大街204号,与牛街路口西南侧",47578,759,116.3693348,39.89446488
英特公寓,朝阳 - 西坝河 西坝河西里28号,34190,402,116.443517,39.97446707
清欣园,大兴 - 旧宫 旧宫镇旧宫西路5号,22909,912,116.4494962,39.81276471
